Check,URL,Item,Item_JP
Skip,B41: Change Date Format (L1),"Converts and displays results ('-' separated, leading zeros for single digit)","結果を変換して表示（'-'区切り、1桁の場合は先頭ゼロ付き）"
Skip,B41: Change Date Format (L1),UI adjusted with user experience in mind,UIがユーザーエクスペリエンスを考慮して調整されている
OK,C1: Folder Zip (L1),Users can select a folder and compress to zip with same folder name,ユーザーがフォルダを選択して同じフォルダ名でzipに圧縮可能
OK,C1: Folder Zip (L1),Zip file automatically downloads,zipファイルが自動ダウンロード
OK,C1: Folder Zip (L1),Empty subfolders not included in compressed archive,空のサブフォルダは圧縮アーカイブに含まれない
Skip,C2: WSC News (L2),"Static website generated (not SPA) with pagination, 5 news per page","静的ウェブサイトを生成（SPAではない）、ページネーション付き、1ページ5件"
Skip,C2: WSC News (L2),"News list shows title, excerpt, and date only","ニュースリストはtitle, excerpt, dateのみ表示"
Skip,C2: WSC News (L2),"Clicking news item redirects to details page showing title, description, date","ニュースアイテムクリックで詳細ページにリダイレクト、title, description, dateを表示"
Skip,C2: WSC News (L2),"Current page link highlighted; Previous disabled on first page, Next disabled on last page","現在のページリンクがハイライト。最初のページでPrevious無効、最後のページでNext無効"
Skip,C3: CSV Converter (L2),Output in same directory with same basename (extension differs),同じディレクトリに同じベースネームで出力（拡張子が異なる）
Skip,C3: CSV Converter (L2),Dynamic number of columns respected,動的な列数に対応
Skip,C3: CSV Converter (L2),Input with same or similar data produces expected output,同じまたは類似のデータ入力で期待される出力を生成
Skip,C4: String Reverser PHP (L1),Form correctly submits input string using POST method,フォームがPOSTメソッドで入力文字列を正しく送信
Skip,C4: String Reverser PHP (L1),"Input validation: only non-empty strings processed",入力バリデーション: 空でない文字列のみ処理
Skip,C4: String Reverser PHP (L1),Input word converted to upper case,入力された単語が大文字に変換される
Skip,C4: String Reverser PHP (L1),Inputted word is reversed,入力された単語が反転される
Skip,C5: Recurring Calendar (L3),"Form to change date, calendar for selected month, form to add events","日付変更フォーム、選択月のカレンダー、イベント追加フォーム"
Skip,C5: Recurring Calendar (L3),Single schedule can be added,単一スケジュールを追加可能
Skip,C5: Recurring Calendar (L3),Recurring schedules can be added,繰り返しスケジュールを追加可能
Skip,C5: Recurring Calendar (L3),Single schedules displayed correctly,単一スケジュールが正しく表示
Skip,C5: Recurring Calendar (L3),"Recurring schedules displayed correctly (last day rule, only after task date)","繰り返しスケジュールが正しく表示（最終日ルール、タスク日以降のみ）"
Skip,C5: Recurring Calendar (L3),Calendar date can be changed,カレンダーの日付を変更可能
Skip,C6: SQL Data Import (L1),Workable solution provided as SQL file,動作するソリューションがSQLファイルとして提供
Skip,C6: SQL Data Import (L1),sql_import_dump.sql provided with correct naming,正しいネーミングでsql_import_dump.sqlが提供
Skip,C6: SQL Data Import (L1),Database name is correct as data_import,データベース名がdata_importとして正しい
Skip,C6: SQL Data Import (L1),All CSV data imported (10 columns / 15979 last game ID),全CSVデータがインポート済み（10列 / 15979の最終ゲームID）
Skip,C7: Excel Download (L3),File posts.xlsx is downloaded,ファイルposts.xlsxがダウンロードされる
Skip,C7: Excel Download (L3),Downloaded file can be opened with Excel program,ダウンロードされたファイルがExcelプログラムで開ける
Skip,C7: Excel Download (L3),Data reflects data from the database,データがデータベースのデータを反映
Skip,C8: User Registration (L3),Register button adds entry to database and returns in frontend table,registerボタンがデータベースにエントリを追加しフロントエンドテーブルに返す
Skip,C8: User Registration (L3),New entry appears in registered users table without page refresh,新しいエントリがページリフレッシュなしでregistered usersテーブルに表示
Skip,C8: User Registration (L3),"Existing email cannot be inserted, error message appears","既存のemailは挿入できず、エラーメッセージが表示"
Skip,C8: User Registration (L3),Database reset correctly (IDs start from 1 after reset),データベースが正しくリセット（リセット後にIDが1から開始）
OK,C9: API CORS (L2),Requests sent to back-end when opening development server,開発サーバー接続時にリクエストがバックエンドに送信
OK,C9: API CORS (L2),GET method request works correctly,GETメソッドリクエストが正しく動作
OK,C9: API CORS (L2),POST method request works correctly,POSTメソッドリクエストが正しく動作
OK,C9: API CORS (L2),PUT method request works correctly,PUTメソッドリクエストが正しく動作
OK,C9: API CORS (L2),DELETE method request works correctly,DELETEメソッドリクエストが正しく動作
Skip,C10: Realtime Chat (L2),Developed separately into back-end and front-end,バックエンドとフロントエンドに分離して開発
Skip,C10: Realtime Chat (L2),Front-end used the given file,フロントエンドが提供されたファイルを使用
Skip,C10: Realtime Chat (L2),Back-end and front-end communicate through socket.io,バックエンドとフロントエンドがsocket.ioで通信
Skip,C10: Realtime Chat (L2),Messages sent to all connected users and viewable in real time,メッセージが全接続ユーザーに送信されリアルタイムで閲覧可能
Skip,C10: Realtime Chat (L2),Input window blank after sending message,メッセージ送信後に入力ウィンドウが空白
OK,C11: Image Mosaic (L1),Mosaic created according to cell_size query parameter,cell_sizeクエリパラメータに応じてモザイクが作成
OK,C11: Image Mosaic (L1),"Default cell_size is 50px when parameter not provided",パラメータ未提供時のデフォルトcell_sizeは50px
OK,C11: Image Mosaic (L1),Mosaic image is same size as original image,モザイク画像が元の画像と同じサイズ
Skip,C12: Local Table Data (L1),Correct data displayed based on provided JSON,提供されたJSONに基づいて正しいデータが表示
Skip,C12: Local Table Data (L1),"Delete or add button press immediately reflected in JSON",削除または追加ボタン押下がJSONに即座に反映
Skip,C12: Local Table Data (L1),"Save button press reflects modified data in JSON (including fields)",保存ボタン押下でJSONに変更データが反映（フィールド含む）
Skip,C12: Local Table Data (L1),"Deleted, added, or modified data saved correctly according to JSON structure","削除、追加、変更されたデータがJSON構造に従って正しく保存"
Skip,C13: Login System JSON (L3),Can register a user,ユーザーを登録できる
Skip,C13: Login System JSON (L3),Can register multiple users,複数のユーザーを登録できる
Skip,C13: Login System JSON (L3),Can log in,ログインできる
Skip,C13: Login System JSON (L3),Can log out,ログアウトできる
Skip,C13: Login System JSON (L3),Displays message when submitting empty fields,空のフィールド送信時にメッセージを表示
Skip,C13: Login System JSON (L3),UI adjusted with user experience in mind,UIがユーザーエクスペリエンスを考慮して調整されている
